entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl_pct,pnl_pct_gross,cost_spread_pct,cost_slip_pct,cost_comm_pct,tp1_hit,bars_open
2026-03-11 15:05:00+00:00,2026-03-11 15:35:00+00:00,1,5185.58,5185.58,SL,0.0,0.0,-0.0,-0.0,0.0,True,6
2026-03-11 15:55:00+00:00,2026-03-11 17:40:00+00:00,1,5175.49,5175.49,SL,0.0,0.0,-0.0,-0.0,0.0,True,21
2026-03-11 16:05:00+00:00,2026-03-11 17:40:00+00:00,1,5176.21,5176.21,SL,0.0,0.0,-0.0,-0.0,0.0,True,19
2026-03-12 17:45:00+00:00,2026-03-12 18:10:00+00:00,1,5148.77,5114.232866053705,SL,-2.0,-2.0,-0.0,-0.0,0.0,False,5
2026-03-12 17:50:00+00:00,2026-03-12 18:10:00+00:00,1,5142.1,5114.232866053705,SL,-2.0,-2.0,-0.0,-0.0,0.0,False,4
2026-03-12 17:55:00+00:00,2026-03-12 18:10:00+00:00,1,5142.2,5114.232866053705,SL,-2.0,-2.0,-0.0,-0.0,0.0,False,3
2026-03-12 18:00:00+00:00,2026-03-12 18:10:00+00:00,1,5142.65,5114.232866053705,SL,-2.0,-2.0,-0.0,-0.0,0.0,False,2
2026-03-12 18:55:00+00:00,2026-03-12 20:00:00+00:00,1,5133.32,5126.7,SESSION,-0.40845061764521096,-0.40845061764521096,-0.0,-0.0,0.0,False,12
2026-03-12 19:05:00+00:00,2026-03-12 20:00:00+00:00,1,5134.01,5126.7,SESSION,-0.3743093863827524,-0.3743093863827524,-0.0,-0.0,0.0,False,10
2026-03-12 19:15:00+00:00,2026-03-12 20:00:00+00:00,1,5128.55,5126.7,SESSION,-0.11012364134875256,-0.11012364134875256,-0.0,-0.0,0.0,False,8
2026-03-12 19:20:00+00:00,2026-03-12 20:00:00+00:00,1,5131.44,5126.7,SESSION,-0.2598071840449421,-0.2598071840449421,-0.0,-0.0,0.0,False,7
2026-03-17 05:05:00+00:00,2026-03-17 09:05:00+00:00,-1,5023.53,5008.49,TIME,1.0123316565851694,1.0123316565851694,-0.0,-0.0,0.0,False,48
2026-03-17 08:25:00+00:00,2026-03-17 12:25:00+00:00,-1,5036.36,5017.76,TIME,1.426558337350562,1.426558337350562,-0.0,-0.0,0.0,True,48
2026-03-20 01:20:00+00:00,2026-03-20 05:20:00+00:00,-1,4671.44,4684.9,TIME,-0.43388240404370776,-0.43388240404370776,-0.0,-0.0,0.0,False,48
2026-03-20 01:25:00+00:00,2026-03-20 05:25:00+00:00,-1,4661.86,4683.82,TIME,-0.6131983297355468,-0.6131983297355468,-0.0,-0.0,0.0,False,48
2026-03-20 04:50:00+00:00,2026-03-20 06:15:00+00:00,-1,4685.23,4733.410423538179,SL,-2.0,-2.0,-0.0,-0.0,0.0,False,17
2026-03-20 04:55:00+00:00,2026-03-20 06:15:00+00:00,-1,4680.0,4733.410423538179,SL,-2.0,-2.0,-0.0,-0.0,0.0,False,16
2026-03-20 06:00:00+00:00,2026-03-20 10:00:00+00:00,-1,4698.36,4674.83,TIME,0.9482408374233543,0.9482408374233543,-0.0,-0.0,0.0,False,48
2026-03-20 06:05:00+00:00,2026-03-20 10:05:00+00:00,-1,4707.2,4682.14,TIME,0.8765357651755978,0.8765357651755978,-0.0,-0.0,0.0,False,48
2026-03-20 06:50:00+00:00,2026-03-20 10:50:00+00:00,-1,4724.75,4697.44,TIME,1.1527165601092388,1.1527165601092388,-0.0,-0.0,0.0,False,48
2026-03-20 07:05:00+00:00,2026-03-20 11:05:00+00:00,-1,4723.76,4708.4,TIME,0.559123276252241,0.559123276252241,-0.0,-0.0,0.0,True,48
2026-03-25 02:35:00+00:00,2026-03-25 04:35:00+00:00,-1,4506.15,4588.52208102381,SL,-2.0,-2.0,-0.0,-0.0,0.0,False,24
2026-03-25 03:35:00+00:00,2026-03-25 07:35:00+00:00,-1,4560.11,4571.97,TIME,-0.3505852196087743,-0.3505852196087743,-0.0,-0.0,0.0,False,48
2026-03-25 04:05:00+00:00,2026-03-25 08:05:00+00:00,-1,4563.79,4571.91,TIME,-0.19715474379579523,-0.19715474379579523,-0.0,-0.0,0.0,False,48
2026-03-27 09:20:00+00:00,2026-03-27 13:20:00+00:00,-1,4465.23,4428.55,TIME,1.698789071065076,1.698789071065076,-0.0,-0.0,0.0,False,48
2026-03-27 09:25:00+00:00,2026-03-27 13:25:00+00:00,-1,4462.42,4429.18,TIME,1.4454153061157806,1.4454153061157806,-0.0,-0.0,0.0,False,48
2026-03-27 19:05:00+00:00,2026-03-27 20:00:00+00:00,-1,4530.55,4511.27,SESSION,0.7094581747340406,0.7094581747340406,-0.0,-0.0,0.0,False,10
2026-03-27 19:30:00+00:00,2026-03-27 20:00:00+00:00,-1,4528.52,4511.27,SESSION,0.6119046147362083,0.6119046147362083,-0.0,-0.0,0.0,False,5
2026-03-30 09:55:00+00:00,2026-03-30 13:55:00+00:00,-1,4536.14,4532.48,TIME,0.12594558201094155,0.12594558201094155,-0.0,-0.0,0.0,False,48
2026-03-30 10:00:00+00:00,2026-03-30 14:00:00+00:00,-1,4532.39,4527.28,TIME,0.16518415872483155,0.16518415872483155,-0.0,-0.0,0.0,False,48
2026-03-30 15:05:00+00:00,2026-03-30 18:45:00+00:00,-1,4555.43,4555.43,SL,0.0,-0.0,-0.0,-0.0,0.0,True,44
