entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl_pct,pnl_pct_gross,cost_spread_pct,cost_slip_pct,cost_comm_pct,tp1_hit,bars_open
2025-11-13 17:40:00+00:00,2025-11-14 10:00:00+00:00,1,2790.03,2778.668515961169,SL,-2.0,-2.0,-0.0,-0.0,0.0,False,10
2025-11-14 12:05:00+00:00,2025-11-14 16:05:00+00:00,1,2741.28,2729.93,TIME,-1.078014547783916,-1.078014547783916,-0.0,-0.0,0.0,False,48
2025-11-19 17:05:00+00:00,2025-11-20 10:00:00+00:00,-1,2697.78,2712.3554063644137,SL,-2.0,-2.0,-0.0,-0.0,0.0,False,17
2025-11-19 17:20:00+00:00,2025-11-20 10:00:00+00:00,-1,2699.28,2712.3554063644137,SL,-2.0,-2.0,-0.0,-0.0,0.0,False,14
2025-11-19 17:35:00+00:00,2025-11-20 10:00:00+00:00,-1,2699.53,2713.455601611851,SL,-2.0,-2.0,-0.0,-0.0,0.0,False,11
2025-11-19 17:40:00+00:00,2025-11-20 10:00:00+00:00,-1,2697.68,2713.455601611851,SL,-2.0,-2.0,-0.0,-0.0,0.0,False,10
2025-11-20 11:05:00+00:00,2025-11-20 15:05:00+00:00,-1,2708.25,2711.13,TIME,-0.29013217731259827,-0.29013217731259827,-0.0,-0.0,0.0,False,48
2025-12-10 10:50:00+00:00,2025-12-10 14:50:00+00:00,1,2801.53,2798.25,TIME,-0.5439623975829971,-0.5439623975829971,-0.0,-0.0,0.0,False,48
2025-12-10 11:00:00+00:00,2025-12-10 15:00:00+00:00,1,2804.03,2799.03,TIME,-0.6868293613560397,-0.6868293613560397,-0.0,-0.0,0.0,False,48
2025-12-10 11:05:00+00:00,2025-12-10 15:05:00+00:00,1,2802.03,2800.05,TIME,-0.26570370566302354,-0.26570370566302354,-0.0,-0.0,0.0,False,48
2025-12-10 11:30:00+00:00,2025-12-10 15:30:00+00:00,1,2798.53,2802.28,TIME,0.6576744022018286,0.6576744022018286,-0.0,-0.0,0.0,False,48
2025-12-15 10:05:00+00:00,2025-12-15 14:05:00+00:00,1,2828.65,2837.03,TIME,0.9645315818049434,0.9645315818049434,-0.0,-0.0,0.0,False,48
2025-12-17 14:05:00+00:00,2025-12-17 18:05:00+00:00,1,2802.03,2795.13,TIME,-1.1011303699932842,-1.1011303699932842,-0.0,-0.0,0.0,False,48
2025-12-17 18:00:00+00:00,2025-12-18 13:35:00+00:00,1,2794.9,2802.75,TIME,1.4065273150941096,1.4065273150941096,-0.0,-0.0,0.0,False,48
2025-12-17 18:05:00+00:00,2025-12-18 13:40:00+00:00,1,2794.68,2802.68,TIME,1.2786886943503375,1.2786886943503375,-0.0,-0.0,0.0,False,48
2025-12-17 18:10:00+00:00,2025-12-18 13:45:00+00:00,1,2795.03,2803.15,TIME,1.2625537362655153,1.2625537362655153,-0.0,-0.0,0.0,False,48
2025-12-18 10:00:00+00:00,2025-12-18 14:00:00+00:00,1,2791.69,2803.05,TIME,2.3858481773149,2.3858481773149,-0.0,-0.0,0.0,False,48
2025-12-22 15:55:00+00:00,2025-12-23 10:00:00+00:00,1,2828.78,2846.1100300589874,TP2,3.968327676907537,3.968327676907537,-0.0,-0.0,0.0,True,30
2025-12-22 16:00:00+00:00,2025-12-23 10:00:00+00:00,1,2830.28,2846.1100300589874,TP2,3.09356314158769,3.09356314158769,-0.0,-0.0,0.0,True,29
2026-01-08 11:35:00+00:00,2026-01-08 15:35:00+00:00,1,2942.53,2940.03,TIME,-0.3502517690314646,-0.3502517690314646,-0.0,-0.0,0.0,False,48
2026-01-08 11:40:00+00:00,2026-01-08 15:40:00+00:00,1,2943.03,2941.25,TIME,-0.24094028349782526,-0.24094028349782526,-0.0,-0.0,0.0,False,48
2026-01-08 12:05:00+00:00,2026-01-08 16:05:00+00:00,1,2941.8,2941.05,TIME,-0.09109779480985729,-0.09109779480985729,-0.0,-0.0,0.0,False,48
2026-01-08 12:10:00+00:00,2026-01-08 16:10:00+00:00,1,2940.28,2938.53,TIME,-0.2341791699413545,-0.2341791699413545,-0.0,-0.0,0.0,False,48
2026-01-19 12:05:00+00:00,2026-01-19 16:05:00+00:00,1,2979.85,2981.28,TIME,0.11864978540631106,0.11864978540631106,-0.0,-0.0,0.0,False,48
2026-01-19 12:10:00+00:00,2026-01-19 16:10:00+00:00,1,2976.03,2981.1,TIME,0.49988778021115676,0.49988778021115676,-0.0,-0.0,0.0,False,48
2026-01-19 12:15:00+00:00,2026-01-19 16:15:00+00:00,1,2978.78,2980.03,TIME,0.10853260479109282,0.10853260479109282,-0.0,-0.0,0.0,False,48
2026-01-19 12:20:00+00:00,2026-01-19 16:20:00+00:00,1,2979.65,2981.8,TIME,0.17988205267014068,0.17988205267014068,-0.0,-0.0,0.0,False,48
2026-02-11 10:10:00+00:00,2026-02-11 14:10:00+00:00,1,3131.03,3145.13,TIME,2.216177501773355,2.216177501773355,-0.0,-0.0,0.0,True,48
2026-02-11 10:30:00+00:00,2026-02-11 14:30:00+00:00,1,3132.03,3146.03,TIME,2.04013045511838,2.04013045511838,-0.0,-0.0,0.0,True,48
2026-02-11 10:35:00+00:00,2026-02-11 14:35:00+00:00,1,3133.53,3144.53,TIME,1.2755716273761188,1.2755716273761188,-0.0,-0.0,0.0,True,48
2026-02-13 11:25:00+00:00,2026-02-13 13:45:00+00:00,1,3113.48,3096.2808357312924,SL,-2.0,-2.0,-0.0,-0.0,0.0,False,28
2026-02-13 11:35:00+00:00,2026-02-13 15:35:00+00:00,1,3109.08,3109.28,TIME,0.021457088753903713,0.021457088753903713,-0.0,-0.0,0.0,False,48
