entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl_pct,pnl_pct_gross,cost_spread_pct,cost_slip_pct,cost_comm_pct,tp1_hit,bars_open
2026-01-26 10:35:00+00:00,2026-01-26 14:35:00+00:00,-1,44877.0,44994.0,TIME,-1.0553395270387307,-1.0553395270387307,-0.0,-0.0,0.0,False,48
2026-01-28 14:30:00+00:00,2026-01-28 18:30:00+00:00,1,44955.0,45090.0,TIME,1.237648096820157,1.237648096820157,-0.0,-0.0,0.0,False,48
2026-01-28 14:35:00+00:00,2026-01-28 18:35:00+00:00,1,44915.0,45095.0,TIME,1.4819819135400127,1.4819819135400127,-0.0,-0.0,0.0,False,48
2026-01-28 14:40:00+00:00,2026-01-28 18:40:00+00:00,1,44935.0,45094.0,TIME,1.2095028385643616,1.2095028385643616,-0.0,-0.0,0.0,False,48
2026-02-05 16:05:00+00:00,2026-02-05 17:20:00+00:00,1,46023.0,45644.81463308771,SL,-1.9999999999999998,-1.9999999999999998,-0.0,-0.0,0.0,False,15
2026-02-05 16:40:00+00:00,2026-02-05 20:00:00+00:00,1,46000.0,45811.0,SESSION,-0.8006572247297542,-0.8006572247297542,-0.0,-0.0,0.0,False,39
2026-02-05 16:45:00+00:00,2026-02-05 20:00:00+00:00,1,46097.0,45811.0,SESSION,-1.005074315748356,-1.005074315748356,-0.0,-0.0,0.0,False,38
2026-02-05 17:05:00+00:00,2026-02-05 20:00:00+00:00,1,45795.0,45811.0,SESSION,0.07279445340358266,0.07279445340358266,-0.0,-0.0,0.0,False,34
2026-02-05 17:40:00+00:00,2026-02-05 20:00:00+00:00,1,45755.0,45811.0,SESSION,0.2274421085708247,0.2274421085708247,-0.0,-0.0,0.0,False,27
2026-02-12 17:20:00+00:00,2026-02-12 18:05:00+00:00,1,46536.0,46298.683175833285,SL,-2.0,-2.0,-0.0,-0.0,0.0,False,9
2026-02-12 17:35:00+00:00,2026-02-12 18:10:00+00:00,1,46495.0,46253.66763563675,SL,-2.0,-2.0,-0.0,-0.0,0.0,False,7
