entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl_pct,pnl_pct_gross,cost_spread_pct,cost_slip_pct,cost_comm_pct,tp1_hit,bars_open
2026-03-11 11:15:00+00:00,2026-03-11 15:15:00+00:00,1,87.091,86.607,TIME,-0.6659133489449562,-0.6659133489449562,-0.0,-0.0,0.0,False,48
2026-03-11 11:20:00+00:00,2026-03-11 15:20:00+00:00,1,86.956,86.723,TIME,-0.3533937143649289,-0.3533937143649289,-0.0,-0.0,0.0,False,48
2026-03-11 11:35:00+00:00,2026-03-11 15:35:00+00:00,1,86.898,86.089,TIME,-1.1278295238500207,-1.1278295238500207,-0.0,-0.0,0.0,False,48
2026-03-11 13:05:00+00:00,2026-03-11 16:00:00+00:00,1,86.856,85.10944282066637,SL,-2.0,-2.0,-0.0,-0.0,0.0,False,35
2026-03-12 18:30:00+00:00,2026-03-12 20:00:00+00:00,1,85.15,85.287,SESSION,0.21437196934246783,0.21437196934246783,-0.0,-0.0,0.0,False,17
2026-03-12 18:40:00+00:00,2026-03-12 20:00:00+00:00,1,85.213,85.287,SESSION,0.10741010315651298,0.10741010315651298,-0.0,-0.0,0.0,False,15
2026-03-12 18:45:00+00:00,2026-03-12 20:00:00+00:00,1,85.237,85.287,SESSION,0.0713319445879385,0.0713319445879385,-0.0,-0.0,0.0,False,14
2026-03-12 18:50:00+00:00,2026-03-12 20:00:00+00:00,1,85.219,85.287,SESSION,0.09827324858565724,0.09827324858565724,-0.0,-0.0,0.0,False,13
2026-03-17 08:05:00+00:00,2026-03-17 12:05:00+00:00,-1,82.213,80.794,TIME,2.559966830099023,2.559966830099023,-0.0,-0.0,0.0,True,48
2026-03-20 01:10:00+00:00,2026-03-20 05:10:00+00:00,-1,73.268,73.884,TIME,-0.5135833970367507,-0.5135833970367507,-0.0,-0.0,0.0,False,48
2026-03-20 04:50:00+00:00,2026-03-20 08:50:00+00:00,-1,73.959,72.518,TIME,1.6154085540391645,1.6154085540391645,-0.0,-0.0,0.0,False,48
2026-03-20 04:55:00+00:00,2026-03-20 08:55:00+00:00,-1,73.745,72.521,TIME,1.2251830369355325,1.2251830369355325,-0.0,-0.0,0.0,False,48
2026-03-23 17:30:00+00:00,2026-03-23 20:00:00+00:00,-1,70.099,68.877,SESSION,0.6183212974578747,0.6183212974578747,-0.0,-0.0,0.0,False,29
2026-03-23 17:35:00+00:00,2026-03-23 20:00:00+00:00,-1,70.222,68.877,SESSION,0.6278271503351022,0.6278271503351022,-0.0,-0.0,0.0,False,28
2026-03-25 01:35:00+00:00,2026-03-25 03:05:00+00:00,-1,71.188,73.08995650746328,SL,-2.0,-2.0,-0.0,-0.0,0.0,False,18
2026-03-25 03:05:00+00:00,2026-03-25 07:05:00+00:00,-1,72.96,73.541,TIME,-0.7101567245363142,-0.7101567245363142,-0.0,-0.0,0.0,False,48
2026-03-25 03:10:00+00:00,2026-03-25 07:10:00+00:00,-1,72.897,73.565,TIME,-0.7862252708316466,-0.7862252708316466,-0.0,-0.0,0.0,False,48
2026-03-25 03:25:00+00:00,2026-03-25 07:25:00+00:00,-1,72.979,73.607,TIME,-0.7766228928080745,-0.7766228928080745,-0.0,-0.0,0.0,False,48
2026-03-25 04:05:00+00:00,2026-03-25 08:05:00+00:00,-1,73.864,73.43,TIME,0.4794037444024389,0.4794037444024389,-0.0,-0.0,0.0,False,48
2026-03-31 05:35:00+00:00,2026-03-31 09:35:00+00:00,-1,72.297,72.134,TIME,0.21273866572190586,0.21273866572190586,-0.0,-0.0,0.0,False,48
2026-03-31 17:10:00+00:00,2026-03-31 20:00:00+00:00,-1,73.59,74.878,SESSION,-1.737089512812829,-1.737089512812829,-0.0,-0.0,0.0,False,33
2026-04-08 01:35:00+00:00,2026-04-08 01:55:00+00:00,-1,74.347,76.29289249975702,SL,-2.0,-2.0,-0.0,-0.0,0.0,False,4
2026-04-08 02:35:00+00:00,2026-04-08 06:35:00+00:00,-1,76.264,76.244,TIME,0.02437225436636021,0.02437225436636021,-0.0,-0.0,0.0,False,48
2026-04-08 02:40:00+00:00,2026-04-08 06:40:00+00:00,-1,76.271,76.247,TIME,0.02937198098319841,0.02937198098319841,-0.0,-0.0,0.0,False,48
2026-04-08 02:45:00+00:00,2026-04-08 06:45:00+00:00,-1,76.115,76.259,TIME,-0.16087493538507822,-0.16087493538507822,-0.0,-0.0,0.0,False,48
2026-04-08 02:50:00+00:00,2026-04-08 06:50:00+00:00,-1,76.26,76.321,TIME,-0.07415464423223758,-0.07415464423223758,-0.0,-0.0,0.0,False,48
2026-04-09 19:50:00+00:00,2026-04-09 20:00:00+00:00,-1,75.888,76.051,SESSION,-0.27936384043906853,-0.27936384043906853,-0.0,-0.0,0.0,False,1
2026-04-09 19:55:00+00:00,2026-04-09 20:00:00+00:00,-1,75.996,76.051,SESSION,-0.10387775731277256,-0.10387775731277256,-0.0,-0.0,0.0,False,0
